Order_ID,City,Order_Date,Category,Amount,Delivery_Time_Min,Delivery_Status,Customer_Rating,Delivery_Partner,Payment_Method
O-100000,Chennai,2024-01-01 00:00:00,Dairy,607,19,Late,5,DP-047,Card
O-100001,Hyderabad,2024-01-01 01:00:00,Household,1053,25,Cancel,5,DP-030,COD
O-100002,Delhi,2024-01-01 02:00:00,Snacks,884,31,On-Time,1,DP-026,UPI
O-100003,Hyderabad,2024-01-01 03:00:00,Beverages,987,26,On-Time,3,DP-020,Card
O-100004,Hyderabad,2024-01-01 04:00:00,Beverages,1199,22,On-Time,5,DP-038,UPI
O-100005,Mumbai,2024-01-01 05:00:00,Beverages,945,15,Late,5,DP-019,Card
O-100006,Delhi,2024-01-01 06:00:00,Dairy,614,26,On-Time,1,DP-027,UPI
O-100007,Delhi,2024-01-01 07:00:00,Snacks,1098,17,On-Time,1,DP-025,Card
O-100008,Delhi,2024-01-01 08:00:00,Bakery,301,14,Late,1,DP-040,COD
O-100009,Hyderabad,2024-01-01 09:00:00,Household,947,25,On-Time,3,DP-038,Card
O-100010,Chennai,2024-01-01 10:00:00,Bakery,966,23,Late,5,DP-023,UPI
O-100011,Delhi,2024-01-01 11:00:00,Dairy,1111,27,On-Time,2,DP-029,Card
O-100012,Pune,2024-01-01 12:00:00,Household,284,34,On-Time,2,DP-015,UPI
O-100013,Hyderabad,2024-01-01 13:00:00,Beverages,815,13,Late,5,DP-003,UPI
O-100014,Mumbai,2024-01-01 14:00:00,Fruits & Veg,471,34,On-Time,5,DP-010,UPI
O-100015,Chennai,2024-01-01 15:00:00,Dairy,1198,16,On-Time,5,DP-015,COD
O-100016,Pune,2024-01-01 16:00:00,Dairy,105,28,On-Time,5,DP-016,Card
O-100017,Pune,2024-01-01 17:00:00,Snacks,972,20,Cancel,3,DP-017,UPI
O-100018,Mumbai,2024-01-01 18:00:00,Bakery,723,32,On-Time,2,DP-019,COD
O-100019,Chennai,2024-01-01 19:00:00,Dairy,403,28,On-Time,4,DP-011,UPI
O-100020,Hyderabad,2024-01-01 20:00:00,Dairy,1026,33,On-Time,2,DP-048,Card
O-100021,Bangalore,2024-01-01 21:00:00,Beverages,1198,15,On-Time,2,DP-005,COD
O-100022,Chennai,2024-01-01 22:00:00,Beverages,695,23,On-Time,1,DP-005,UPI
O-100023,Mumbai,2024-01-01 23:00:00,Household,236,20,On-Time,5,DP-014,UPI
O-100024,Pune,2024-01-02 00:00:00,Fruits & Veg,850,20,On-Time,5,DP-050,UPI
O-100025,Hyderabad,2024-01-02 01:00:00,Snacks,348,24,Late,5,DP-026,Card
O-100026,Chennai,2024-01-02 02:00:00,Fruits & Veg,1101,30,On-Time,1,DP-008,COD
O-100027,Bangalore,2024-01-02 03:00:00,Household,1126,27,On-Time,3,DP-005,COD
O-100028,Bangalore,2024-01-02 04:00:00,Beverages,400,12,Late,3,DP-007,COD
O-100029,Delhi,2024-01-02 05:00:00,Bakery,1014,29,On-Time,4,DP-016,UPI
O-100030,Delhi,2024-01-02 06:00:00,Beverages,614,28,Late,3,DP-014,COD
O-100031,Mumbai,2024-01-02 07:00:00,Snacks,562,24,On-Time,3,DP-037,UPI
O-100032,Chennai,2024-01-02 08:00:00,Beverages,896,16,On-Time,5,DP-041,Card
O-100033,Chennai,2024-01-02 09:00:00,Snacks,1163,9,On-Time,2,DP-004,COD
O-100034,Pune,2024-01-02 10:00:00,Snacks,430,32,On-Time,3,DP-036,UPI
O-100035,Pune,2024-01-02 11:00:00,Snacks,309,33,On-Time,3,DP-048,COD
O-100036,Pune,2024-01-02 12:00:00,Household,301,25,On-Time,1,DP-017,COD
O-100037,Delhi,2024-01-02 13:00:00,Snacks,123,16,Late,4,DP-047,Card
O-100038,Chennai,2024-01-02 14:00:00,Snacks,192,13,On-Time,1,DP-036,COD
O-100039,Chennai,2024-01-02 15:00:00,Bakery,128,18,On-Time,5,DP-006,Card
O-100040,Bangalore,2024-01-02 16:00:00,Fruits & Veg,639,32,On-Time,2,DP-016,COD
O-100041,Delhi,2024-01-02 17:00:00,Dairy,1142,13,Cancel,4,DP-029,COD
O-100042,Hyderabad,2024-01-02 18:00:00,Fruits & Veg,127,13,On-Time,1,DP-036,COD
O-100043,Delhi,2024-01-02 19:00:00,Snacks,632,20,On-Time,3,DP-038,COD
O-100044,Hyderabad,2024-01-02 20:00:00,Bakery,942,18,On-Time,3,DP-037,COD
O-100045,Bangalore,2024-01-02 21:00:00,Beverages,472,21,On-Time,4,DP-048,COD
O-100046,Mumbai,2024-01-02 22:00:00,Bakery,749,9,On-Time,3,DP-048,Card
O-100047,Chennai,2024-01-02 23:00:00,Snacks,461,15,Late,1,DP-010,Card
O-100048,Bangalore,2024-01-03 00:00:00,Bakery,185,10,On-Time,1,DP-041,UPI
O-100049,Chennai,2024-01-03 01:00:00,Bakery,688,30,Late,3,DP-036,COD
O-100050,Pune,2024-01-03 02:00:00,Snacks,91,28,On-Time,3,DP-029,Card
O-100051,Mumbai,2024-01-03 03:00:00,Household,958,10,On-Time,5,DP-014,COD
O-100052,Mumbai,2024-01-03 04:00:00,Bakery,615,8,Late,2,DP-004,COD
O-100053,Bangalore,2024-01-03 05:00:00,Dairy,245,31,On-Time,4,DP-044,Card
O-100054,Mumbai,2024-01-03 06:00:00,Dairy,483,26,Cancel,1,DP-042,COD
O-100055,Hyderabad,2024-01-03 07:00:00,Bakery,814,25,On-Time,4,DP-036,Card
O-100056,Mumbai,2024-01-03 08:00:00,Household,932,24,Cancel,5,DP-050,Card
O-100057,Chennai,2024-01-03 09:00:00,Beverages,304,27,On-Time,1,DP-045,UPI
O-100058,Chennai,2024-01-03 10:00:00,Snacks,193,31,On-Time,5,DP-013,UPI
O-100059,Chennai,2024-01-03 11:00:00,Dairy,858,20,On-Time,5,DP-046,UPI
O-100060,Chennai,2024-01-03 12:00:00,Beverages,539,10,On-Time,3,DP-018,UPI
O-100061,Hyderabad,2024-01-03 13:00:00,Bakery,178,8,On-Time,4,DP-033,COD
O-100062,Delhi,2024-01-03 14:00:00,Beverages,772,11,On-Time,4,DP-021,COD
O-100063,Pune,2024-01-03 15:00:00,Fruits & Veg,249,32,On-Time,3,DP-016,UPI
O-100064,Bangalore,2024-01-03 16:00:00,Dairy,819,20,On-Time,4,DP-015,Card
O-100065,Chennai,2024-01-03 17:00:00,Bakery,739,24,Late,3,DP-005,Card
O-100066,Mumbai,2024-01-03 18:00:00,Snacks,107,18,On-Time,1,DP-006,Card
O-100067,Chennai,2024-01-03 19:00:00,Household,129,9,On-Time,5,DP-038,Card
O-100068,Mumbai,2024-01-03 20:00:00,Bakery,593,32,On-Time,5,DP-003,COD
O-100069,Pune,2024-01-03 21:00:00,Snacks,830,23,On-Time,4,DP-048,Card
O-100070,Pune,2024-01-03 22:00:00,Household,86,9,On-Time,2,DP-012,Card
O-100071,Pune,2024-01-03 23:00:00,Household,794,26,On-Time,5,DP-036,UPI
O-100072,Mumbai,2024-01-04 00:00:00,Bakery,629,30,Late,3,DP-033,Card
O-100073,Chennai,2024-01-04 01:00:00,Beverages,447,26,Late,2,DP-036,COD
O-100074,Pune,2024-01-04 02:00:00,Beverages,558,32,On-Time,2,DP-033,Card
O-100075,Hyderabad,2024-01-04 03:00:00,Household,1047,23,On-Time,5,DP-031,Card
O-100076,Mumbai,2024-01-04 04:00:00,Beverages,697,29,On-Time,5,DP-021,COD
O-100077,Mumbai,2024-01-04 05:00:00,Fruits & Veg,381,26,On-Time,5,DP-027,UPI
O-100078,Chennai,2024-01-04 06:00:00,Household,531,16,On-Time,3,DP-027,COD
O-100079,Mumbai,2024-01-04 07:00:00,Household,234,8,On-Time,2,DP-008,UPI
O-100080,Mumbai,2024-01-04 08:00:00,Snacks,405,17,On-Time,4,DP-037,Card
O-100081,Pune,2024-01-04 09:00:00,Beverages,850,26,On-Time,3,DP-032,UPI
O-100082,Chennai,2024-01-04 10:00:00,Household,299,8,On-Time,1,DP-026,UPI
O-100083,Pune,2024-01-04 11:00:00,Fruits & Veg,1057,9,Late,5,DP-002,UPI
O-100084,Pune,2024-01-04 12:00:00,Snacks,803,23,On-Time,2,DP-012,Card
O-100085,Chennai,2024-01-04 13:00:00,Bakery,1143,19,Late,3,DP-022,UPI
O-100086,Bangalore,2024-01-04 14:00:00,Household,1157,15,Cancel,1,DP-017,UPI
O-100087,Pune,2024-01-04 15:00:00,Fruits & Veg,718,30,On-Time,3,DP-007,Card
O-100088,Hyderabad,2024-01-04 16:00:00,Dairy,690,25,On-Time,3,DP-043,COD
O-100089,Hyderabad,2024-01-04 17:00:00,Fruits & Veg,269,9,On-Time,4,DP-004,COD
O-100090,Mumbai,2024-01-04 18:00:00,Fruits & Veg,563,32,Cancel,4,DP-037,COD
O-100091,Hyderabad,2024-01-04 19:00:00,Snacks,231,20,Cancel,3,DP-038,Card
O-100092,Mumbai,2024-01-04 20:00:00,Bakery,684,13,On-Time,1,DP-032,Card
O-100093,Bangalore,2024-01-04 21:00:00,Dairy,486,28,On-Time,2,DP-011,COD
O-100094,Chennai,2024-01-04 22:00:00,Beverages,1177,33,Late,2,DP-001,UPI
